,LONGITUDE,LATITUDE
0,-126.86300548992946,-46.74917892351621
1,-127.05781842911951,-46.91980519468836
2,-127.2544195701577,-47.0898063511659
3,-127.45282287094307,-47.2591746481021
4,-127.65304230676433,-47.42790224822285
5,-127.8550918653922,-47.59598122114212
6,-128.05898554196673,-47.76340354269698
7,-128.2647373336746,-47.930161094303706
8,-128.47236123421112,-48.09624566233636
9,-128.68187122802215,-48.261648937529245
10,-128.89328128431995,-48.4263625144049
11,-129.10660535086913,-48.59037789072912
12,-129.3218573475363,-48.75368646699467
13,-129.53905115959952,-48.916279545935375
14,-129.75820063081136,-49.078148332072324
15,-129.97931955621206,-49.23928393129408
16,-130.20242167468652,-49.39967735047252
17,-130.42752066126147,-49.5593194971165
18,-130.65463011913755,-49.71820117906499
19,-130.88376357145202,-49.87631310422213
20,-131.11493445276764,-50.03364588033571
21,-131.34815610028357,-50.19019001482178
22,-131.58344174476437,-50.345935914637096
23,-131.8208045011829,-50.50087388620193
24,-132.0602573590738,-50.65499413537551
25,-132.30181317259445,-50.808286767486194
26,-132.54548465028947,-50.960741787419146
27,-132.79128434455686,-51.11234909976354
28,-133.0392246408127,-51.26309850902222
29,-133.28931774635254,-51.41297971988593
30,-133.54157567890752,-51.56198233757512
31,-133.79601025489384,-51.710095868251486
32,-134.05263307735487,-51.857309719502474
33,-134.3114555235948,-52.00361320090095
34,-134.57248873250455,-52.14899552464304
35,-134.83574359157964,-52.293445806266945
36,-135.10123072363163,-52.436953065455405
37,-135.36896047319433,-52.57950622692479
38,-135.63894289262723,-52.72109412140352
39,-135.91118772791876,-52.86170548670286
40,-136.18570440419325,-53.001328968882895
41,-136.46250201092528,-53.13995312351654
42,-136.74158928686694,-53.277566417054594
43,-137.02297460469333,-53.41415722829468
44,-137.30666595537318,-53.54971384995694
45,-137.59267093227186,-53.68422449036945
46,-137.880996714995,-53.817677275266114
47,-138.17165005298207,-53.95006024969989
48,-138.4646372488601,-54.081361380074156
49,-138.75996414156856,-54.21156855629502
50,-139.05763608926782,-54.34066959404718
51,-139.35765795204404,-54.4686522371958
52,-139.6600340744253,-54.59550416031755
53,-139.9647682677238,-54.72121297136246
54,-140.27186379222107,-54.8457662144497
55,-140.58132333921398,-54.969151372799054
56,-140.89314901293992,-55.09135587180077
57,-141.20734231240172,-55.21236708222524
58,-141.52390411311347,-55.33217232357499
59,-141.84283464878973,-55.450758867580376
60,-142.1641334930017,-55.568113941840835
61,-142.48779954082593,-55.684224733612936
62,-142.81383099051118,-55.79907839374672
63,-143.1422253251915,-55.912662040771174
64,-143.4729792946739,-56.024962765129985
65,-143.8060888973309,-56.13596763356782
66,-144.14154936212907,-56.245663693667964
67,-144.47935513082592,-56.35403797854121
68,-144.81949984036893,-56.46107751166604
69,-145.16197630553128,-56.56676931187964
70,-145.50677650182024,-56.671100398519194
71,-145.8538915486951,-56.7740577967124
72,-146.20331169313252,-56.875628542816116
73,-146.55502629357824,-56.975799690001416
74,-146.9090238043249,-57.07455831398322
75,-147.2652917603565,-57.171891518892224
76,-147.6238167627006,-57.26778644328654
77,-147.98458446433094,-57.362230266300145
78,-148.3475795566617,-57.45521021392461
79,-148.71278575667813,-57.54671356542064
80,-149.08018579474478,-57.636727659855126
81,-149.44976140313673,-57.725239902759306
82,-149.82149330533653,-57.81223777290312
83,-150.19536120614023,-57.897708829180296
84,-150.5713437826169,-57.9816407175989
85,-150.94941867596393,-58.06402117837048
86,-151.32956248430128,-58.144838053092165
87,-151.71175075644663,-58.224079292013926
88,-152.0959579867129,-58.30173296138428
89,-152.48215761076852,-58.377787250866334
90,-152.8703220025997,-58.45223048101605
91,-153.2604224726129,-58.52505111081449
92,-153.65242926691425,-58.596237745244544
93,-154.04631156780073,-58.66577914290343
94,-154.44203749549632,-58.733664223640965
95,-154.8395741111648,-58.79988207621364
96,-155.2388874212281,-58.86442196594433
97,-155.6399423830168,-58.92727334237679
98,-156.04270291177792,-58.988425846914154
99,-156.44713188906076,-59.04786932043025
100,-156.85319117250046,-59.105593810842024
101,-157.26084160701518,-59.16158958063193
102,-157.67004303742905,-59.215847114307785
103,-158.08075432253153,-59.26835712578854
104,-158.4929333505786,-59.31911056570369
105,-158.906537056239,-59.368098628593884
106,-159.3215214389843,-59.41531276000066
107,-159.7378415829184,-59.46074466343272
108,-160.15545167803808,-59.50438630719653
109,-160.57430504291213,-59.546229931078805
110,-160.99435414876342,-59.58626805286856
111,-161.41555064493306,-59.62449347470683
112,-161.8378453857031,-59.66089928925171
113,-162.26118845844977,-59.69547888564718
114,-162.68552921309455,-59.728225955283825
115,-163.11081629281804,-59.759134497340504
116,-163.53699766599578,-59.788198824095566
117,-163.96402065931312,-59.815413565997034
118,-164.39183199201136,-59.84077367648166
119,-164.82037781121394,-59.864274436532654
120,-165.2496037282786,-59.88591145896677
121,-165.679454856117,-59.90568069244182
122,-166.10987584742108,-59.923578425176196
123,-166.54081093373182,-59.93960128837236
124,-166.9722039652833,-59.95374625933707
125,-167.4039984515525,-59.96601066429189
126,-167.83613760244253,-59.97639218086731
127,-168.26856437002564,-59.984888840275765
128,-168.7012214907687,-59.99149902915828
129,-169.13405152816438,-59.99622149110112
130,-169.56699691568804,-59.999055327818574
131,-170.0,-59.999999999999986
132,-170.433003084312,-59.999055327818574
133,-170.8659484718356,-59.99622149110112
134,-171.29877850923137,-59.99149902915828
135,-171.7314356299744,-59.984888840275765
136,-172.16386239755747,-59.97639218086731
137,-172.5960015484475,-59.96601066429189
138,-173.02779603471672,-59.95374625933707
139,-173.45918906626824,-59.93960128837236
140,-173.89012415257895,-59.923578425176196
141,-174.32054514388304,-59.90568069244182
142,-174.7503962717214,-59.88591145896677
143,-175.1796221887861,-59.864274436532654
144,-175.60816800798864,-59.84077367648166
145,-176.0359793406869,-59.815413565997034
146,-176.46300233400427,-59.788198824095566
147,-176.88918370718199,-59.759134497340504
148,-177.3144707869055,-59.728225955283825
149,-177.7388115415503,-59.69547888564718
150,-178.16215461429695,-59.66089928925171
151,-178.584449355067,-59.62449347470683
152,-179.0056458512366,-59.58626805286856
153,-179.4256949570879,-59.546229931078805
154,-179.84454832196198,-59.50438630719653
155,179.73784158291838,-59.46074466343272
156,179.3215214389843,-59.41531276000066
157,178.90653705623896,-59.368098628593884
158,178.49293335057857,-59.31911056570369
159,178.0807543225315,-59.26835712578854
160,177.67004303742902,-59.215847114307785
161,177.26084160701515,-59.16158958063193
162,176.85319117250046,-59.105593810842024
163,176.44713188906073,-59.04786932043025
164,176.0427029117779,-58.988425846914154
165,175.63994238301677,-58.92727334237679
166,175.23888742122807,-58.86442196594433
167,174.8395741111648,-58.79988207621364
168,174.4420374954963,-58.733664223640965
169,174.04631156780073,-58.66577914290343
170,173.65242926691423,-58.596237745244544
171,173.26042247261287,-58.52505111081449
172,172.87032200259966,-58.45223048101605
173,172.4821576107685,-58.377787250866334
174,172.0959579867129,-58.30173296138428
175,171.7117507564466,-58.224079292013926
176,171.32956248430125,-58.144838053092165
177,170.94941867596393,-58.06402117837048
178,170.57134378261688,-57.9816407175989
179,170.1953612061402,-57.897708829180296
180,169.8214933053365,-57.81223777290312
181,169.44976140313673,-57.725239902759306
182,169.08018579474475,-57.636727659855126
183,168.7127857566781,-57.54671356542064
184,168.3475795566617,-57.45521021392461
185,167.9845844643309,-57.362230266300145
186,167.62381676270059,-57.26778644328654
187,167.26529176035646,-57.171891518892224
188,166.90902380432487,-57.07455831398322
189,166.5550262935782,-56.975799690001416
190,166.2033116931325,-56.875628542816116
191,165.8538915486951,-56.7740577967124
192,165.5067765018202,-56.671100398519194
193,165.16197630553125,-56.56676931187964
194,164.8194998403689,-56.46107751166604
195,164.4793551308259,-56.35403797854121
196,164.14154936212904,-56.245663693667964
197,163.80608889733088,-56.13596763356782
198,163.47297929467388,-56.024962765129985
199,163.14222532519148,-55.912662040771174
200,162.81383099051118,-55.79907839374672
201,162.4877995408259,-55.684224733612936
202,162.16413349300169,-55.568113941840835
203,161.8428346487897,-55.450758867580376
204,161.52390411311345,-55.33217232357499
205,161.2073423124017,-55.21236708222524
206,160.8931490129399,-55.09135587180077
207,160.58132333921398,-54.969151372799054
208,160.27186379222104,-54.8457662144497
209,159.96476826772377,-54.72121297136246
210,159.66003407442528,-54.59550416031755
211,159.357657952044,-54.4686522371958
212,159.0576360892678,-54.34066959404718
213,158.75996414156853,-54.21156855629502
214,158.4646372488601,-54.081361380074156
215,158.17165005298205,-53.95006024969989
216,157.880996714995,-53.817677275266114
217,157.59267093227183,-53.68422449036945
218,157.30666595537315,-53.54971384995694
219,157.0229746046933,-53.41415722829468
220,156.7415892868669,-53.277566417054594
221,156.46250201092528,-53.13995312351654
222,156.18570440419322,-53.001328968882895
223,155.91118772791873,-52.86170548670286
224,155.6389428926272,-52.72109412140352
225,155.3689604731943,-52.57950622692479
226,155.1012307236316,-52.436953065455405
227,154.83574359157964,-52.293445806266945
228,154.57248873250452,-52.14899552464304
229,154.31145552359476,-52.00361320090095
230,154.05263307735484,-51.857309719502474
231,153.79601025489382,-51.710095868251486
232,153.5415756789075,-51.56198233757512
233,153.28931774635254,-51.41297971988593
234,153.0392246408127,-51.26309850902222
235,152.79128434455683,-51.11234909976354
236,152.54548465028944,-50.960741787419146
237,152.30181317259445,-50.808286767486194
238,152.0602573590738,-50.65499413537551
239,151.82080450118286,-50.50087388620193
240,151.58344174476437,-50.345935914637096
241,151.34815610028357,-50.19019001482178
242,151.1149344527676,-50.03364588033571
243,150.883763571452,-49.87631310422213
244,150.65463011913752,-49.71820117906499
245,150.42752066126144,-49.5593194971165
246,150.2024216746865,-49.39967735047252
247,149.97931955621203,-49.23928393129408
248,149.75820063081136,-49.078148332072324
249,149.5390511595995,-48.916279545935375
250,149.3218573475363,-48.75368646699467
251,149.1066053508691,-48.59037789072912
252,148.89328128431993,-48.4263625144049
253,148.68187122802212,-48.261648937529245
254,148.47236123421112,-48.09624566233636
255,148.26473733367456,-47.930161094303706
256,148.0589855419667,-47.76340354269698
257,147.85509186539218,-47.59598122114212
258,147.65304230676432,-47.42790224822285
259,147.45282287094304,-47.2591746481021
260,147.25441957015767,-47.0898063511659
261,147.0578184291195,-46.91980519468836
262,147.0578184291195,-46.91980519468836
263,146.76905647031376,-47.07379231832924
264,146.47862488341138,-47.22704948986497
265,146.18651304580592,-47.37956853820337
266,145.89271043233236,-47.531341216154516
267,145.5972066218033,-47.682359200490346
268,145.29999130372093,-47.83261409204228
269,145.0010542851651,-47.98209741583812
270,144.70038549786,-48.130800621280024
271,144.39797500541903,-48.27871508236465
272,144.09381301077022,-48.42583209794728
273,143.7878898637613,-48.57214289205137
274,143.48019606894636,-48.717638614225045
275,143.17072229355261,-48.86231033994633
276,142.85945937562875,-49.006149071078354
277,142.54639833237374,-49.14914573637656
278,142.23153036864534,-49.291291192049265
279,141.91484688564825,-49.43257622237338
280,141.59633948979973,-49.5729915403668
281,141.27600000177216,-49.71252778851941
282,140.95382046570992,-49.85117553958399
283,140.62979315861904,-49.98892529742915
284,140.30391059992672,-50.12576749795563
285,139.97616556120795,-50.26169251007776
286,139.64655107607604,-50.396690636771964
287,139.3150604502331,-50.53075211619363
288,138.98168727167672,-50.66386712286431
289,138.646425421058,-50.79602576893075
290,138.309269082186,-50.9272181054975
291,137.9702127526731,-51.057434124034664
292,137.62925125471543,-51.186663757862306
293,137.2863797460019,-51.3148968837133
294,136.94159373074456,-51.442123323375995
295,136.5948890708232,-51.56833284541811
296,136.246261997036,-51.693515166993734
297,135.89570912044718,-51.81765995573424
298,135.54322744382364,-51.94075683172505
299,135.18881437314946,-52.06279536956912
300,134.83246772920896,-52.18376510053875
301,134.47418575922705,-52.30365551481659
302,134.1139671485555,-52.42245606382718
303,133.75181103239257,-52.54015616265992
304,133.38771700752397,-52.656745192584516
305,133.02168514407157,-52.77221250365965
306,132.6537159972354,-52.88654741743574
307,132.28381061901536,-52.999739229752386
308,131.91197056989643,-53.11177721363104
309,131.53819793048243,-53.22265062226354
310,131.1624953130614,-53.33234869209637
311,130.78486587308606,-53.440860646011465
